"filename", "language", "PHP", "JSON", "XML", "JavaScript", "Markdown", "PostCSS", "comment", "blank", "total"
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 38, 0, 0, 0, 0, 0, 6, 6, 50
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 6, 5, 36
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 6, 6, 58
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\migrations\2026_07_05_044121_create_tareas_table.php", "PHP", 34, 0, 0, 0, 0, 0, 6, 9, 49
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\database\seeders\DatabaseSeeder.php", "PHP", 16, 0, 0, 0, 0, 0, 4, 6, 26
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\package-lock.json", "JSON", 0, 3536, 0, 0, 0, 0, 0, 1, 3537
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\phpunit.xml", "XML", 0, 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\public\index.php", "PHP", 10, 0, 0, 0, 0, 0, 4, 7, 21
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 29, 0, 3, 32
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\js\app.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 4, 8
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\auth\confirm-password.blade.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\auth\forgot-password.blade.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\auth\login.blade.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 9, 56
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\auth\register.blade.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\auth\reset-password.blade.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\auth\verify-email.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\application-logo.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\auth-session-status.blade.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\danger-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\dropdown-link.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\dropdown.blade.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\input-error.blade.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\input-label.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\modal.blade.php", "PHP", 73, 0, 0, 0, 0, 0, 2, 4, 79
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\nav-link.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\primary-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\responsive-nav-link.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\secondary-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\components\text-input.blade.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\dashboard.blade.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 50, 139
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\layouts\app.blade.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\layouts\guest.blade.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\layouts\navigation.blade.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 13, 101
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\profile\edit.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\profile\partials\delete-user-form.blade.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 11, 56
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\profile\partials\update-password-form.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\profile\partials\update-profile-information-form.blade.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 11, 65
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\tareas\create.blade.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 14, 73
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\tareas\edit.blade.php", "PHP", 60, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\tareas\index.blade.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 22, 98
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\tareas\show.blade.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 12, 77
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\resources\views\welcome.blade.php", "PHP", 270, 0, 0, 0, 0, 0, 0, 8, 278
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\routes\auth.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 17, 60
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\routes\web.php", "PHP", 21, 0, 0, 0, 0, 0, 10, 13, 44
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tailwind.config.js", "JavaScript", 0, 0, 0, 32, 0, 0, 1, 3, 36
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Feature\Auth\AuthenticationTest.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 13, 42
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 14, 47
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 11, 33
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Feature\Auth\PasswordResetTest.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 20, 61
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 9, 41
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Feature\Auth\RegistrationTest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Feature\ExampleTest.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Feature\ProfileTest.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 22, 86
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Feature\TareaTest.php", "PHP", 123, 0, 0, 0, 0, 0, 9, 41, 173
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Pest.php", "PHP", 12, 0, 0, 0, 0, 0, 31, 8, 51
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\tests\Unit\ExampleTest.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\erivr\Downloads\sistema-tareas\sistema-tareas\vite.config.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 2, 12
"Total", "-", 2987, 13124, 36, 55, 39, 29, 814, 867, 17951
